year,month,day,hour,minute,ncores
2021,6,10,20,15,18
2021,6,10,20,30,17
2021,6,10,20,45,17
2021,6,15,20,15,15
2021,6,19,20,0,15
2021,6,19,20,15,15
2021,6,19,20,30,16
2021,6,20,20,0,18
2021,6,20,20,15,17
2021,6,20,20,30,18
2021,6,26,20,0,16
2021,6,26,20,15,15
2021,6,26,20,30,21
2021,6,26,20,45,25
2021,6,3,17,0,21
2021,6,3,17,15,22
2021,6,3,17,30,23
2021,6,3,17,45,21
2021,6,9,17,0,16
2021,6,9,17,15,18
2021,6,9,17,30,20
2021,6,9,17,45,17
2021,6,10,17,0,22
2021,6,10,17,15,28
2021,6,10,17,30,22
2021,6,10,17,45,24
2021,6,13,17,0,25
2021,6,13,17,15,27
2021,6,13,17,30,25
2021,6,13,17,45,23
2021,6,14,17,30,15
2021,6,14,17,45,17
2021,6,19,17,0,16
2021,6,19,17,15,17
2021,6,19,17,30,19
2021,6,19,17,45,17
2021,6,20,17,0,33
2021,6,20,17,15,30
2021,6,20,17,30,26
2021,6,20,17,45,19
2021,6,25,17,0,23
2021,6,25,17,15,25
2021,6,25,17,30,23
2021,6,25,17,45,17
2021,6,26,17,0,20
2021,6,26,17,15,16
2021,6,26,17,30,16
2021,6,26,17,45,17
2021,6,3,16,15,15
2021,6,9,16,0,15
2021,6,9,16,15,19
2021,6,9,16,30,20
2021,6,9,16,45,17
2021,6,10,16,0,23
2021,6,10,16,15,23
2021,6,10,16,30,21
2021,6,10,16,45,21
2021,6,13,16,0,31
2021,6,13,16,15,30
2021,6,13,16,30,27
2021,6,13,16,45,26
2021,6,14,16,15,16
2021,6,14,16,30,15
2021,6,19,16,0,17
2021,6,19,16,30,15
2021,6,19,16,45,17
2021,6,20,16,0,27
2021,6,20,16,15,29
2021,6,20,16,30,32
2021,6,20,16,45,31
2021,6,25,16,0,26
2021,6,25,16,15,29
2021,6,25,16,30,27
2021,6,25,16,45,25
2021,6,26,16,0,18
2021,6,26,16,15,22
2021,6,26,16,30,20
2021,6,26,16,45,19
2021,6,10,23,0,17
2021,6,19,23,0,17
2021,6,19,23,15,19
2021,6,20,23,0,17
2021,6,20,23,15,15
2021,6,20,23,30,15
2021,7,2,4,45,16
2021,7,1,15,30,15
2021,7,1,15,45,16
2021,7,12,15,15,18
2021,7,12,15,30,20
2021,7,12,15,45,20
2021,7,13,15,0,17
2021,7,13,15,30,15
2021,7,13,15,45,15
2021,7,27,15,15,15
2021,7,27,15,30,18
2021,7,27,15,45,17
2021,7,1,14,30,15
2021,7,1,14,45,16
2021,7,2,14,15,15
2021,7,2,14,45,18
2021,7,1,16,0,23
2021,7,1,16,15,25
2021,7,1,16,30,25
2021,7,1,16,45,26
2021,7,12,16,0,17
2021,7,12,16,15,17
2021,7,12,16,30,20
2021,7,12,16,45,19
2021,7,13,16,15,15
2021,7,13,16,30,16
2021,7,13,16,45,18
2021,7,16,16,0,15
2021,7,16,16,15,21
2021,7,16,16,30,15
2021,7,16,16,45,15
2021,7,2,5,15,15
2021,7,2,5,30,15
2021,7,1,18,45,15
2021,7,6,18,0,15
2021,7,6,18,15,17
2021,7,13,18,0,21
2021,7,13,18,15,22
2021,7,13,18,30,17
2021,7,13,18,45,16
2021,7,24,18,30,15
2021,7,24,18,45,15
2021,7,27,18,15,20
2021,7,27,18,30,18
2021,7,27,18,45,17
2021,7,1,19,15,16
2021,7,1,19,30,16
2021,7,1,19,45,15
2021,7,27,19,0,15
2021,7,28,19,30,16
2021,7,28,19,45,16
2021,7,1,21,0,16
2021,7,1,21,15,18
2021,7,1,21,30,19
2021,7,1,21,45,20
2021,7,27,21,0,15
2021,7,27,21,30,17
2021,7,1,22,0,16
2021,7,1,17,0,25
2021,7,1,17,15,20
2021,7,1,17,30,19
2021,7,1,17,45,15
2021,7,12,17,0,20
2021,7,12,17,15,17
2021,7,12,17,30,17
2021,7,13,17,0,20
2021,7,13,17,15,20
2021,7,13,17,30,19
2021,7,13,17,45,19
2021,7,27,17,15,16
2021,7,1,20,0,15
2021,7,1,20,15,17
2021,7,1,20,30,17
2021,7,1,20,45,17
2021,7,13,20,0,16
2021,7,27,20,45,17
2021,7,28,20,0,16
2021,7,28,20,15,15
2021,8,22,3,30,16
2021,8,17,12,30,16
2021,8,14,17,0,17
2021,8,14,17,15,19
2021,8,14,17,30,23
2021,8,14,17,45,19
2021,8,17,17,0,25
2021,8,17,17,15,24
2021,8,17,17,30,22
2021,8,17,17,45,17
2021,8,20,17,0,24
2021,8,20,17,15,22
2021,8,20,17,30,19
2021,8,20,17,45,18
2021,8,24,17,0,20
2021,8,24,17,15,23
2021,8,24,17,30,26
2021,8,24,17,45,24
2021,8,26,17,15,15
2021,8,26,17,45,15
2021,8,28,17,0,20
2021,8,28,17,15,17
2021,8,30,17,30,15
2021,8,11,16,45,15
2021,8,14,16,0,19
2021,8,14,16,15,18
2021,8,14,16,30,18
2021,8,14,16,45,22
2021,8,17,16,0,34
2021,8,17,16,15,34
2021,8,17,16,30,31
2021,8,17,16,45,26
2021,8,20,16,15,16
2021,8,20,16,30,19
2021,8,20,16,45,22
2021,8,24,16,0,22
2021,8,24,16,15,21
2021,8,24,16,30,21
2021,8,24,16,45,17
2021,8,25,16,0,15
2021,8,25,16,15,16
2021,8,26,16,15,17
2021,8,26,16,30,19
2021,8,26,16,45,15
2021,8,28,16,0,18
2021,8,28,16,15,18
2021,8,28,16,30,18
2021,8,28,16,45,23
2021,8,31,16,30,15
2021,8,12,18,0,17
2021,8,12,18,15,15
2021,8,12,18,30,16
2021,8,12,18,45,16
2021,8,14,18,0,17
2021,8,14,18,15,15
2021,8,17,18,0,16
2021,8,17,18,15,15
2021,8,17,18,30,15
2021,8,17,18,45,16
2021,8,24,18,0,19
2021,8,24,18,15,20
2021,8,24,18,30,21
2021,8,24,18,45,20
2021,8,26,18,15,16
2021,8,14,15,15,15
2021,8,14,15,30,19
2021,8,14,15,45,20
2021,8,17,15,0,28
2021,8,17,15,15,27
2021,8,17,15,30,34
2021,8,17,15,45,37
2021,8,24,15,0,15
2021,8,24,15,45,18
2021,8,26,15,30,15
2021,8,29,15,0,17
2021,8,29,15,15,15
2021,8,29,15,30,20
2021,8,29,15,45,17
2021,8,14,14,30,18
2021,8,14,14,45,15
2021,8,17,14,0,21
2021,8,17,14,15,20
2021,8,17,14,30,26
2021,8,17,14,45,27
2021,8,21,14,45,15
2021,8,29,14,0,15
2021,8,29,14,15,15
2021,8,29,14,30,16
2021,8,29,14,45,16
2021,8,17,13,15,16
2021,8,17,13,30,18
2021,8,17,13,45,21
2021,8,29,13,0,15
2021,8,29,13,15,20
2021,8,29,13,30,19
2021,8,29,13,45,17
2021,8,17,21,0,15
2021,8,17,19,0,16
2021,8,17,19,15,15
2021,8,17,19,30,16
2021,8,17,19,45,18
2021,8,24,19,0,17
2021,8,24,19,15,16
2021,8,29,19,0,15
2021,8,29,19,30,15
2021,8,17,22,0,16
2021,8,17,20,0,19
2021,8,17,20,15,16
2021,8,17,20,30,15
2021,8,17,20,45,15
2021,8,26,20,0,15
2021,9,26,3,15,16
2021,9,15,13,0,19
2021,9,14,17,0,15
2021,9,15,17,0,15
2021,9,15,17,15,17
2021,9,15,17,30,15
2021,9,15,17,45,18
